question,reference_answer,answer,verified_citations
Nhà nước có chính sách gì để giúp người lao động nâng cao kỹ năng và duy trì việc làm?,"Nhà nước có chính sách đào tạo, bồi dưỡng, nâng cao trình độ, kỹ năng nghề và hỗ trợ duy trì, chuyển đổi nghề nghiệp, việc làm cho người lao động.","Nhà nước có chính sách phát triển, phân bố nguồn nhân lực; nâng cao năng suất lao động; đào tạo, bồi dưỡng và nâng cao trình độ, kỹ năng nghề cho người lao động; hỗ trợ duy trì, chuyển đổi nghề nghiệp, việc làm cho người lao động; ưu đãi đối với người lao động có trình độ chuyên môn, kỹ thuật cao (Điều 4 Khoản 4). Đồng thời, Nhà nước khuyến khích người sử dụng lao động đào tạo nghề nghiệp và phát triển kỹ năng nghề cho người lao động thông qua việc thành lập cơ sở giáo dục nghề nghiệp, mở lớp đào tạo tại nơi làm việc, tổ chức thi kỹ năng nghề, đánh giá và công nhận kỹ năng nghề (Điều 59 Khoản 2). Ngoài ra, Nhà nước có biện pháp tạo việc làm, cải thiện điều kiện lao động, nâng cao trình độ nghề nghiệp và tăng cường phúc lợi cho lao động nữ nhằm giúp họ phát huy năng lực nghề nghiệp và cân bằng cuộc sống (Điều 135 Khoản 3).

Nguồn:
- Điều 4 Khoản 4
- Điều 59 Khoản 2
- Điều 135 Khoản 3","Điều 135 Khoản 3;Điều 4 Khoản 4;Điều 59 Khoản 2 Điểm a, b"
"Nhà nước ưu đãi người lao động có trình độ chuyên môn, kỹ thuật cao đúng không?",Đúng.,"Nhà nước có chính sách ưu đãi đối với người lao động có trình độ chuyên môn, kỹ thuật cao nhằm đáp ứng yêu cầu của cách mạng công nghiệp, sự nghiệp công nghiệp hóa, hiện đại hóa đất nước.

Nguồn:
- Điều 4 Khoản 4",Điều 4 Khoản 4
Chính sách của Nhà nước về thị trường lao động là gì?,"Có chính sách phát triển thị trường lao động, đa dạng các hình thức kết nối cung, cầu lao động.","Chính sách của Nhà nước về thị trường lao động là phát triển thị trường lao động, đa dạng các hình thức kết nối cung, cầu lao động.

Nguồn:
- Điều 4 Khoản 5",Điều 4 Khoản 5
Nhà nước có chính sách gì để thúc đẩy sự kết nối giữa người lao động và người sử dụng lao động?,Nhà nước phát triển thị trường lao động và đa dạng hóa các cách thức kết nối cung và cầu lao động.,"Nhà nước thúc đẩy người lao động và người sử dụng lao động đối thoại, thương lượng tập thể, xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định.

Nguồn:
- Điều 4 Khoản 6",Điều 4 Khoản 6
Nhà nước có chính sách đa dạng hình thức kết nối cung cầu lao động không?,Có.,"Nhà nước có chính sách phát triển thị trường lao động, đa dạng các hình thức kết nối cung, cầu lao động.

Nguồn:
- Điều 4 Khoản 5",Điều 4 Khoản 5
Chính sách của Nhà nước về lao động trong Khoản 6 Điều 4 là gì?,"Thúc đẩy người lao động và người sử dụng lao động đối thoại, thương lượng tập thể, xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định.",Không tìm thấy thông tin trong dữ liệu luật hiện có.,
Nhà nước khuyến khích điều gì giữa người lao động và người sử dụng lao động theo Khoản 6 Điều 4?,"Khuyến khích họ trao đổi, thương lượng chung để tạo dựng mối quan hệ lao động tốt đẹp, cân bằng và bền vững.","Nhà nước khuyến khích thúc đẩy người lao động và người sử dụng lao động đối thoại, thương lượng tập thể, xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định theo Khoản 6 Điều 4.

Nguồn:
- Điều 4 Khoản 6",Điều 4 Khoản 6
Nhà nước không khuyến khích đối thoại giữa người lao động và người sử dụng lao động đúng hay sai?,"Sai, Nhà nước khuyến khích đối thoại và thương lượng tập thể.","Nhà nước khuyến khích người sử dụng lao động và người lao động hoặc tổ chức đại diện người lao động tiến hành đối thoại tại nơi làm việc, kể cả ngoài những trường hợp quy định bắt buộc.

Nguồn:
- Điều 63 Khoản 3",Điều 63 Khoản 3
Chính sách của Nhà nước về lao động bao gồm những nội dung gì liên quan đến lao động nữ và người lao động đặc biệt?,"Bảo đảm bình đẳng giới; quy định chế độ lao động và chính sách xã hội nhằm bảo vệ lao động nữ, lao động là người khuyết tật, người lao động cao tuổi, lao động chưa thành niên.","Chính sách của Nhà nước về lao động liên quan đến lao động nữ và người lao động đặc biệt bao gồm:

- Bảo đảm bình đẳng giới; quy định chế độ lao động và chính sách xã hội nhằm bảo vệ lao động nữ, lao động là người khuyết tật, người lao động cao tuổi, lao động chưa thành niên (Điều 4 Khoản 7).
- Có biện pháp tạo việc làm, cải thiện điều kiện lao động, nâng cao trình độ nghề nghiệp, chăm sóc sức khỏe, tăng cường phúc lợi vật chất và tinh thần cho lao động nữ, giúp họ phát huy năng lực nghề nghiệp và kết hợp hài hòa giữa cuộc sống lao động và gia đình (Điều 135 Khoản 3).
- Người sử dụng lao động phải tham khảo ý kiến của lao động nữ hoặc đại diện của họ khi quyết định các vấn đề liên quan đến quyền và lợi ích của phụ nữ (Điều 136 Khoản 2).

Nguồn:
- Điều 4 Khoản 7
- Điều 135 Khoản 3
- Điều 136 Khoản 2",Điều 135 Khoản 3;Điều 136 Khoản 2;Điều 4 Khoản 7
Nhà nước có chính sách gì để hỗ trợ các nhóm lao động như người khuyết tật và lao động chưa thành niên?,"Nhà nước quy định chế độ lao động và chính sách xã hội nhằm bảo vệ các nhóm lao động như người khuyết tật, lao động chưa thành niên, đồng thời bảo đảm bình đẳng giới.","Nhà nước có chính sách bảo vệ và hỗ trợ các nhóm lao động như sau:

- Đảm bảo bình đẳng giới và quy định chế độ lao động, chính sách xã hội nhằm bảo vệ lao động nữ, người khuyết tật, lao động cao tuổi và lao động chưa thành niên (Điều 4 Khoản 7).
- Cấm sử dụng người lao động là người khuyết tật nhẹ suy giảm khả năng lao động từ 51% trở lên, khuyết tật nặng hoặc đặc biệt nặng làm thêm giờ, làm việc ban đêm nếu không có sự đồng ý của họ (Điều 160 Khoản 1).
- Khi sử dụng lao động chưa thành niên, phải có sự đồng ý của cha, mẹ hoặc người giám hộ; lập sổ theo dõi riêng ghi đầy đủ thông tin và kết quả kiểm tra sức khỏe định kỳ (Điều 144 Khoản 3).

Nguồn:  
- Điều 4 Khoản 7  
- Điều 160 Khoản 1  
- Điều 144 Khoản 3",Điều 144 Khoản 3;Điều 160 Khoản 1;Điều 4 Khoản 7
Chính sách lao động của Nhà nước có bao gồm bảo vệ lao động nữ không?,Có.,"Chính sách lao động của Nhà nước có bao gồm bảo vệ lao động nữ. Cụ thể, Nhà nước bảo đảm bình đẳng giới, quy định chế độ lao động và chính sách xã hội nhằm bảo vệ lao động nữ (Điều 4 Khoản 7). Đồng thời, bảo đảm quyền bình đẳng của lao động nữ và thực hiện các biện pháp bảo đảm bình đẳng giới, phòng chống quấy rối tình dục tại nơi làm việc (Điều 135 Khoản 1).

Nguồn:
- Điều 4 Khoản 7
- Điều 135 Khoản 1",Điều 135 Khoản 1;Điều 4 Khoản 7
Người lao động có những quyền gì theo Điều 5 Khoản 1?,Người lao động có các quyền được quy định tại Điều 5 Khoản 1.,"Người lao động theo Điều 5 Khoản 1 có các quyền sau:
a) Làm việc; tự do lựa chọn việc làm, nơi làm việc, nghề nghiệp, học nghề, nâng cao trình độ nghề nghiệp; không bị phân biệt đối xử, cưỡng bức lao động, quấy rối tình dục tại nơi làm việc;
b) Hưởng lương phù hợp với trình độ, kỹ năng nghề trên cơ sở thỏa thuận với người sử dụng lao động; được bảo hộ lao động, làm việc trong điều kiện bảo đảm về an toàn, vệ sinh lao động; nghỉ theo chế độ, nghỉ hằng năm có hưởng lương và được hưởng phúc lợi tập thể;
c) Thành lập, gia nhập, hoạt động trong tổ chức đại diện người lao động, tổ chức nghề nghiệp và tổ chức khác theo quy định của pháp luật; yêu cầu và tham gia đối thoại, thực hiện quy chế dân chủ, thương lượng tập thể với người sử dụng lao động và được tham vấn tại nơi làm việc để bảo vệ quyền và lợi ích hợp pháp, chính đáng của mình; tham gia quản lý theo nội quy của người sử dụng lao động;
d) Từ chối làm việc nếu có nguy cơ rõ ràng đe dọa trực tiếp đến tính mạng, sức khỏe trong quá trình thực hiện công việc;
đ) Đơn phương chấm dứt hợp đồng lao động;
e) Đình công;
g) Các quyền khác theo quy định của pháp luật.

Nguồn:
- Điều 5 Khoản 1","Điều 5 Khoản 1 Điểm a, b, c, d, e, g"
Điều 5 Khoản 1 nói gì về quyền của người lao động?,Điều 5 Khoản 1 quy định các quyền mà người lao động được hưởng.,"Điều 5 Khoản 1 quy định các quyền của người lao động gồm:
a) Làm việc; tự do lựa chọn việc làm, nơi làm việc, nghề nghiệp, học nghề, nâng cao trình độ nghề nghiệp; không bị phân biệt đối xử, cưỡng bức lao động, quấy rối tình dục tại nơi làm việc;
b) Hưởng lương phù hợp với trình độ, kỹ năng nghề trên cơ sở thỏa thuận với người sử dụng lao động; được bảo hộ lao động, làm việc trong điều kiện bảo đảm an toàn, vệ sinh lao động; nghỉ theo chế độ, nghỉ hằng năm có hưởng lương và được hưởng phúc lợi tập thể;
c) Thành lập, gia nhập, hoạt động trong tổ chức đại diện người lao động, tổ chức nghề nghiệp và tổ chức khác theo quy định của pháp luật; yêu cầu và tham gia đối thoại, thực hiện quy chế dân chủ, thương lượng tập thể với người sử dụng lao động và được tham vấn tại nơi làm việc để bảo vệ quyền và lợi ích hợp pháp, chính đáng của mình; tham gia quản lý theo nội quy của người sử dụng lao động;
d) Từ chối làm việc nếu có nguy cơ rõ ràng đe dọa trực tiếp đến tính mạng, sức khỏe trong quá trình thực hiện công việc;
đ) Đơn phương chấm dứt hợp đồng lao động;
e) Đình công;
g) Các quyền khác theo quy định của pháp luật.

Nguồn:
- Điều 5 Khoản 1","Điều 5 Khoản 1 Điểm a, b, c, d, e, g"
Người lao động có quyền theo Điều 5 Khoản 1 không?,"Có, người lao động có các quyền theo Điều 5 Khoản 1.","Người lao động có các quyền theo Điều 5 Khoản 1 bao gồm: quyền làm việc, tự do lựa chọn việc làm, nơi làm việc, nghề nghiệp, học nghề, nâng cao trình độ nghề nghiệp; không bị phân biệt đối xử, cưỡng bức lao động, quấy rối tình dục tại nơi làm việc; hưởng lương phù hợp với trình độ, kỹ năng nghề; được bảo hộ lao động, làm việc trong điều kiện an toàn, vệ sinh lao động; nghỉ theo chế độ, nghỉ hằng năm có hưởng lương và hưởng phúc lợi tập thể; thành lập, gia nhập, hoạt động trong tổ chức đại diện người lao động và các tổ chức nghề nghiệp; yêu cầu và tham gia đối thoại, thực hiện quy chế dân chủ, thương lượng tập thể; từ chối làm việc khi có nguy cơ đe dọa tính mạng, sức khỏe; đơn phương chấm dứt hợp đồng lao động; đình công; và các quyền khác theo quy định của pháp luật.

Nguồn:
- Điều 5 Khoản 1 Điểm a, b, c, d, đ, e, g","Điều 5 Khoản 1 Điểm a, b, c, d, e, g"
Người lao động có những nghĩa vụ gì theo Điều 5 Khoản 2?,Người lao động có các nghĩa vụ được quy định tại Điều 5 Khoản 2.,"Người lao động theo Điều 5 Khoản 2 có các nghĩa vụ sau:
a) Thực hiện hợp đồng lao động, thỏa ước lao động tập thể và thỏa thuận hợp pháp khác;
b) Chấp hành kỷ luật lao động, nội quy lao động; tuân theo sự quản lý, điều hành, giám sát của người sử dụng lao động;
c) Thực hiện quy định của pháp luật về lao động, việc làm, giáo dục nghề nghiệp, bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp và an toàn, vệ sinh lao động.

Nguồn:
- Điều 5 Khoản 2 Điểm a, b, c","Điều 5 Khoản 2 Điểm a, b, c"
"Theo Điều 5 Khoản 2, người lao động phải thực hiện những trách nhiệm nào?",Người lao động phải thực hiện các nghĩa vụ được nêu trong Điều 5 Khoản 2.,"Theo Điều 5 Khoản 2, người lao động có các nghĩa vụ sau đây:
a) Thực hiện hợp đồng lao động, thỏa ước lao động tập thể và thỏa thuận hợp pháp khác;
b) Chấp hành kỷ luật lao động, nội quy lao động; tuân theo sự quản lý, điều hành, giám sát của người sử dụng lao động;
c) Thực hiện quy định của pháp luật về lao động, việc làm, giáo dục nghề nghiệp, bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp và an toàn, vệ sinh lao động.

Nguồn:
- Điều 5 Khoản 2","Điều 5 Khoản 2 Điểm a, b, c"
Người lao động có nghĩa vụ theo quy định tại Điều 5 Khoản 2 phải không?,"Có, người lao động có nghĩa vụ theo Điều 5 Khoản 2.","Người lao động có nghĩa vụ theo quy định tại Điều 5 Khoản 2, bao gồm: thực hiện hợp đồng lao động, thỏa ước lao động tập thể và thỏa thuận hợp pháp khác; chấp hành kỷ luật lao động, nội quy lao động; tuân theo sự quản lý, điều hành, giám sát của người sử dụng lao động; thực hiện quy định của pháp luật về lao động, việc làm, giáo dục nghề nghiệp, bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp và an toàn, vệ sinh lao động.

Nguồn:
- Điều 5 Khoản 2","Điều 5 Khoản 2 Điểm a, b, c"
Người sử dụng lao động có những quyền gì theo Điều 6 Khoản 1?,Người sử dụng lao động có các quyền được quy định tại Điều 6 Khoản 1.,"Người sử dụng lao động theo Điều 6 Khoản 1 có các quyền sau:
a) Tuyển dụng, bố trí, quản lý, điều hành, giám sát lao động; khen thưởng và xử lý vi phạm kỷ luật lao động;
b) Thành lập, gia nhập, hoạt động trong tổ chức đại diện người sử dụng lao động, tổ chức nghề nghiệp và tổ chức khác theo quy định của pháp luật;
c) Yêu cầu tổ chức đại diện người lao động thương lượng với mục đích ký kết thỏa ước lao động tập thể; tham gia giải quyết tranh chấp lao động, đình công; đối thoại, trao đổi với tổ chức đại diện người lao động về các vấn đề trong quan hệ lao động, cải thiện đời sống vật chất và tinh thần của người lao động;
d) Đóng cửa tạm thời nơi làm việc;
đ) Các quyền khác theo quy định của pháp luật.

Nguồn:
- Điều 6 Khoản 1 Điểm a, b, c, d, đ","Điều 6 Khoản 1 Điểm a, b, c, d"
Điều 6 Khoản 1 nói gì về quyền của người sử dụng lao động?,Điều 6 Khoản 1 quy định các quyền mà người sử dụng lao động được hưởng.,"Điều 6 Khoản 1 quy định quyền của người sử dụng lao động gồm:
a) Tuyển dụng, bố trí, quản lý, điều hành, giám sát lao động; khen thưởng và xử lý vi phạm kỷ luật lao động;
b) Thành lập, gia nhập, hoạt động trong tổ chức đại diện người sử dụng lao động, tổ chức nghề nghiệp và tổ chức khác theo quy định của pháp luật;
c) Yêu cầu tổ chức đại diện người lao động thương lượng để ký kết thỏa ước lao động tập thể; tham gia giải quyết tranh chấp lao động, đình công; đối thoại, trao đổi với tổ chức đại diện người lao động về các vấn đề trong quan hệ lao động, cải thiện đời sống người lao động;
d) Đóng cửa tạm thời nơi làm việc;
đ) Các quyền khác theo quy định của pháp luật.

Nguồn:
- Điều 6 Khoản 1 Điểm a, b, c, d, đ","Điều 6 Khoản 1 Điểm a, b, c, d"
Người sử dụng lao động có quyền theo Điều 6 Khoản 1 không?,"Có, người sử dụng lao động có các quyền theo Điều 6 Khoản 1.","Người sử dụng lao động có các quyền theo Điều 6 Khoản 1 gồm:
a) Tuyển dụng, bố trí, quản lý, điều hành, giám sát lao động; khen thưởng và xử lý vi phạm kỷ luật lao động;
b) Thành lập, gia nhập, hoạt động trong tổ chức đại diện người sử dụng lao động, tổ chức nghề nghiệp và tổ chức khác theo quy định của pháp luật;
c) Yêu cầu tổ chức đại diện người lao động thương lượng ký kết thỏa ước lao động tập thể; tham gia giải quyết tranh chấp lao động, đình công; đối thoại, trao đổi với tổ chức đại diện người lao động về các vấn đề trong quan hệ lao động, cải thiện đời sống người lao động;
d) Đóng cửa tạm thời nơi làm việc;
đ) Các quyền khác theo quy định của pháp luật.

Nguồn:
- Điều 6 Khoản 1 Điểm a, b, c, d, đ","Điều 6 Khoản 1 Điểm a, b, c, d"
Người sử dụng lao động có những nghĩa vụ gì theo Điều 6 Khoản 2?,Người sử dụng lao động có các nghĩa vụ được quy định tại Khoản 2 Điều 6.,"Người sử dụng lao động theo Điều 6 Khoản 2 có các nghĩa vụ sau:
a) Thực hiện hợp đồng lao động, thỏa ước lao động tập thể và thỏa thuận hợp pháp khác; tôn trọng danh dự, nhân phẩm của người lao động;
b) Thiết lập cơ chế và thực hiện đối thoại, trao đổi với người lao động và tổ chức đại diện người lao động; thực hiện quy chế dân chủ ở cơ sở tại nơi làm việc;
c) Đào tạo, đào tạo lại, bồi dưỡng nâng cao trình độ, kỹ năng nghề nhằm duy trì, chuyển đổi nghề nghiệp, việc làm cho người lao động;
d) Thực hiện quy định của pháp luật về lao động, việc làm, giáo dục nghề nghiệp, bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp và an toàn, vệ sinh lao động; xây dựng và thực hiện các giải pháp phòng, chống quấy rối tình dục tại nơi làm việc;
đ) Tham gia phát triển tiêu chuẩn kỹ năng nghề quốc gia, đánh giá, công nhận kỹ năng nghề cho người lao động.

Nguồn:
- Điều 6 Khoản 2 Điểm a, b, c, d, đ","Điều 6 Khoản 2 Điểm a, b, c, d"
"Theo Điều 6 Khoản 2, người sử dụng lao động phải thực hiện những trách nhiệm nào?",Người sử dụng lao động phải thực hiện các nghĩa vụ được nêu trong Khoản 2 Điều 6.,"Theo Điều 6 Khoản 2, người sử dụng lao động có các nghĩa vụ sau:
a) Thực hiện hợp đồng lao động, thỏa ước lao động tập thể và thỏa thuận hợp pháp khác; tôn trọng danh dự, nhân phẩm của người lao động;
b) Thiết lập cơ chế và thực hiện đối thoại, trao đổi với người lao động và tổ chức đại diện người lao động; thực hiện quy chế dân chủ ở cơ sở tại nơi làm việc;
c) Đào tạo, đào tạo lại, bồi dưỡng nâng cao trình độ, kỹ năng nghề nhằm duy trì, chuyển đổi nghề nghiệp, việc làm cho người lao động;
d) Thực hiện quy định của pháp luật về lao động, việc làm, giáo dục nghề nghiệp, bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp và an toàn, vệ sinh lao động; xây dựng và thực hiện các giải pháp phòng, chống quấy rối tình dục tại nơi làm việc;
đ) Tham gia phát triển tiêu chuẩn kỹ năng nghề quốc gia, đánh giá, công nhận kỹ năng nghề cho người lao động.

Nguồn:
- Điều 6 Khoản 2 Điểm a, b, c, d, đ","Điều 6 Khoản 2 Điểm a, b, c, d"
Người sử dụng lao động không có nghĩa vụ nào theo Điều 6 Khoản 2 đúng hay sai?,"Sai, người sử dụng lao động có các nghĩa vụ theo Điều 6 Khoản 2.","Theo Điều 6 Khoản 2, người sử dụng lao động có các nghĩa vụ sau:
a) Thực hiện hợp đồng lao động, thỏa ước lao động tập thể và thỏa thuận hợp pháp khác; tôn trọng danh dự, nhân phẩm của người lao động;
b) Thiết lập cơ chế và thực hiện đối thoại, trao đổi với người lao động và tổ chức đại diện người lao động; thực hiện quy chế dân chủ ở cơ sở tại nơi làm việc;
c) Đào tạo, đào tạo lại, bồi dưỡng nâng cao trình độ, kỹ năng nghề nhằm duy trì, chuyển đổi nghề nghiệp, việc làm cho người lao động;
d) Thực hiện quy định của pháp luật về lao động, việc làm, giáo dục nghề nghiệp, bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp và an toàn, vệ sinh lao động; xây dựng và thực hiện các giải pháp phòng, chống quấy rối tình dục tại nơi làm việc;
đ) Tham gia phát triển tiêu chuẩn kỹ năng nghề quốc gia, đánh giá, công nhận kỹ năng nghề cho người lao động.

Do đó, người sử dụng lao động có nghĩa vụ rõ ràng theo Điều 6 Khoản 2, nên khẳng định ""Người sử dụng lao động không có nghĩa vụ nào theo Điều 6 Khoản 2"" là sai.

Nguồn:
- Điều 6 Khoản 2 Điểm a, b, c, d, đ","Điều 6 Khoản 2 Điểm a, b, c, d"
Quan hệ lao động được xác lập như thế nào theo Điều 7 Khoản 1?,"Qua đối thoại, thương lượng, thỏa thuận theo nguyên tắc tự nguyện, thiện chí, bình đẳng, hợp tác, tôn trọng quyền và lợi ích hợp pháp của nhau.","Quan hệ lao động được xác lập qua đối thoại, thương lượng, thỏa thuận theo nguyên tắc tự nguyện, thiện chí, bình đẳng, hợp tác, tôn trọng quyền và lợi ích hợp pháp của nhau.

Nguồn:
- Điều 7 Khoản 1",Điều 7 Khoản 1
Việc thiết lập quan hệ lao động phải dựa trên những nguyên tắc nào?,"Dựa trên nguyên tắc tự nguyện, thiện chí, bình đẳng, hợp tác và tôn trọng quyền lợi hợp pháp của các bên.","Việc thiết lập quan hệ lao động phải dựa trên các nguyên tắc tự nguyện, thiện chí, bình đẳng, hợp tác, tôn trọng quyền và lợi ích hợp pháp của nhau.

Nguồn:
- Điều 7 Khoản 1",Điều 7 Khoản 1
Quan hệ lao động có thể được xác lập mà không cần sự thỏa thuận giữa các bên không?,Không.,"Quan hệ lao động được xác lập qua đối thoại, thương lượng, thỏa thuận theo nguyên tắc tự nguyện, thiện chí, bình đẳng, hợp tác, tôn trọng quyền và lợi ích hợp pháp của nhau. Như vậy, quan hệ lao động phải có sự thỏa thuận giữa các bên.

Nguồn:
- Điều 7 Khoản 1
- Điều 13 Khoản 1
- Điều 3 Khoản 5",Điều 13 Khoản 1;Điều 3 Khoản 5;Điều 7 Khoản 1
Ai là những chủ thể tham gia xây dựng quan hệ lao động theo Điều 7 Khoản 2?,"Người sử dụng lao động, tổ chức đại diện người sử dụng lao động, người lao động và tổ chức đại diện người lao động.","Theo Điều 7 Khoản 2, những chủ thể tham gia xây dựng quan hệ lao động gồm: người sử dụng lao động, tổ chức đại diện người sử dụng lao động, người lao động và tổ chức đại diện người lao động, với sự hỗ trợ của cơ quan nhà nước có thẩm quyền.

Nguồn:
- Điều 7 Khoản 2",Điều 7 Khoản 2
"Theo Điều 7 Khoản 2, quan hệ lao động cần được xây dựng như thế nào với sự hỗ trợ của cơ quan nhà nước?","Quan hệ lao động phải tiến bộ, hài hòa và ổn định.","Theo Điều 7 Khoản 2, quan hệ lao động cần được xây dựng tiến bộ, hài hòa và ổn định với sự hỗ trợ của cơ quan nhà nước có thẩm quyền.

Nguồn:
- Điều 7 Khoản 2",Điều 7 Khoản 2
Có phải cơ quan nhà nước có thẩm quyền không hỗ trợ trong việc xây dựng quan hệ lao động không?,"Không, cơ quan nhà nước có thẩm quyền hỗ trợ xây dựng quan hệ lao động.","Cơ quan nhà nước có thẩm quyền có hỗ trợ trong việc xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định. Cụ thể, theo Điều 7 Khoản 2, cơ quan nhà nước có thẩm quyền hỗ trợ người sử dụng lao động, người lao động và các tổ chức đại diện xây dựng quan hệ lao động. Ngoài ra, Điều 212 Khoản 4 cũng quy định xây dựng các cơ chế, thiết chế hỗ trợ phát triển quan hệ lao động tiến bộ, hài hòa và ổn định.

Nguồn:
- Điều 7 Khoản 2
- Điều 212 Khoản 4",Điều 212 Khoản 4;Điều 7 Khoản 2
Công đoàn có vai trò gì trong xây dựng quan hệ lao động theo Điều 7 Khoản 3?,"Công đoàn tham gia cùng cơ quan nhà nước hỗ trợ xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định; giám sát thi hành pháp luật lao động; bảo vệ quyền lợi người lao động.","Công đoàn tham gia cùng với cơ quan nhà nước có thẩm quyền hỗ trợ xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định; giám sát việc thi hành quy định của pháp luật về lao động; bảo vệ quyền và lợi ích hợp pháp, chính đáng của người lao động.

Nguồn:
- Điều 7 Khoản 3",Điều 7 Khoản 3
Nêu cách công đoàn góp phần bảo vệ người lao động theo quy định tại Điều 7 Khoản 3.,Công đoàn phối hợp với cơ quan nhà nước giám sát việc thực hiện pháp luật lao động và bảo vệ quyền lợi hợp pháp của người lao động.,"Công đoàn góp phần bảo vệ người lao động bằng cách tham gia cùng với cơ quan nhà nước có thẩm quyền hỗ trợ xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định; giám sát việc thi hành quy định của pháp luật về lao động; bảo vệ quyền và lợi ích hợp pháp, chính đáng của người lao động.

Nguồn:
- Điều 7 Khoản 3",Điều 7 Khoản 3
Công đoàn chỉ giám sát việc thi hành pháp luật lao động mà không tham gia xây dựng quan hệ lao động đúng không?,"Không đúng, công đoàn vừa tham gia xây dựng quan hệ lao động vừa giám sát thi hành pháp luật lao động.","Công đoàn không chỉ giám sát việc thi hành pháp luật lao động mà còn tham gia cùng với cơ quan nhà nước có thẩm quyền hỗ trợ xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định.

Nguồn:
- Điều 7 Khoản 3",Điều 7 Khoản 3
Phòng Thương mại và Công nghiệp Việt Nam có vai trò gì trong quan hệ lao động?,"Có vai trò đại diện, bảo vệ quyền và lợi ích hợp pháp của người sử dụng lao động, tham gia xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định.","Phòng Thương mại và Công nghiệp Việt Nam có vai trò đại diện, bảo vệ quyền và lợi ích hợp pháp của người sử dụng lao động, tham gia xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định.

Nguồn:
- Điều 7 Khoản 4",Điều 7 Khoản 4
Các tổ chức đại diện người sử dụng lao động được thành lập theo pháp luật có nhiệm vụ gì trong quan hệ lao động?,"Đại diện và bảo vệ quyền lợi hợp pháp của người sử dụng lao động, đồng thời góp phần xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định.","Các tổ chức đại diện người sử dụng lao động được thành lập theo pháp luật có nhiệm vụ đại diện và bảo vệ quyền, lợi ích hợp pháp của người sử dụng lao động trong quan hệ lao động, đồng thời tham gia xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định.

Nguồn:
- Điều 3 Khoản 4
- Điều 7 Khoản 4",Điều 3 Khoản 4;Điều 7 Khoản 4
Liên minh Hợp tác xã Việt Nam có thể tham gia xây dựng quan hệ lao động ổn định không?,Có.,"Liên minh Hợp tác xã Việt Nam có vai trò đại diện, bảo vệ quyền và lợi ích hợp pháp của người sử dụng lao động, đồng thời được tham gia xây dựng quan hệ lao động tiến bộ, hài hòa và ổn định.

Nguồn:
- Điều 7 Khoản 4
- Điều 4 Khoản 6",Điều 4 Khoản 6;Điều 7 Khoản 4
Phân biệt đối xử trong lao động là gì theo Điều 8 Khoản 1?,Phân biệt đối xử trong lao động là hành vi bị nghiêm cấm trong lĩnh vực lao động.,"Phân biệt đối xử trong lao động theo Điều 8 Khoản 1 là hành vi bị nghiêm cấm trong lĩnh vực lao động. Cụ thể, theo Điều 3 Khoản 8, phân biệt đối xử trong lao động là hành vi phân biệt, loại trừ hoặc ưu tiên dựa trên các yếu tố như chủng tộc, màu da, nguồn gốc quốc gia hoặc xã hội, dân tộc, giới tính, độ tuổi, tình trạng thai sản, tình trạng hôn nhân, tôn giáo, tín ngưỡng, chính kiến, khuyết tật, trách nhiệm gia đình, tình trạng nhiễm HIV hoặc vì lý do thành lập, gia nhập và hoạt động công đoàn, tổ chức của người lao động tại doanh nghiệp, làm ảnh hưởng đến bình đẳng về cơ hội việc làm hoặc nghề nghiệp. Tuy nhiên, việc phân biệt xuất phát từ yêu cầu đặc thù của công việc hoặc nhằm bảo vệ người lao động dễ bị tổn thương thì không bị xem là phân biệt đối xử.

Nguồn:
- Điều 3 Khoản 8
- Điều 8 Khoản 1",Điều 3 Khoản 8;Điều 8 Khoản 1
"Theo Điều 8 Khoản 1, việc đối xử không công bằng với người lao động có bị cấm không?","Có, việc phân biệt đối xử trong lao động bị nghiêm cấm.","Theo Điều 8 Khoản 1, phân biệt đối xử trong lao động là hành vi bị nghiêm cấm. Việc đối xử không công bằng với người lao động thuộc hành vi phân biệt đối xử và do đó bị cấm.

Nguồn:
- Điều 8 Khoản 1
- Điều 3 Khoản 8",Điều 3 Khoản 8;Điều 8 Khoản 1
