group,index,category,question,embedding_hit,bm25_hit,expected
hit_both,213,definition,"Người điều khiển xe chở hàng siêu trường, siêu trọng không có báo hiệu kích thước của hàng bị phạt bao nhiêu?",True,True,22
hit_both,214,paraphrase,"Chở hàng siêu trường, siêu trọng mà kích thước bao ngoài của xe vượt quá quy định trong giấy phép lưu hành thì bị phạt ra sao?",True,True,22
hit_both,215,yes-no,"Điều khiển xe chở hàng siêu trường, siêu trọng không có giấy phép lưu hành có bị phạt tiền từ 13.000.000 đến 15.000.000 đồng không?",True,True,22
hit_both,216,definition,"Lái xe vi phạm chở hàng siêu trường, siêu trọng vượt quá quy định trong giấy phép bị trừ bao nhiêu điểm GPLX?",True,True,22
hit_both,217,paraphrase,Không bóc hoặc xóa biểu trưng nguy hiểm trên phương tiện khi không còn vận chuyển hàng nguy hiểm bị phạt bao nhiêu?,True,True,23
hit_both,218,yes-no,"Vận chuyển hàng nguy hiểm mà xe không dán nhãn, biểu trưng nhận diện có bị phạt tiền từ 4.000.000 đến 6.000.000 đồng không?",True,True,23
hit_both,219,definition,"Mức phạt tiền đối với hành vi vận chuyển chất dễ cháy, nổ đi qua hầm đường bộ dài từ 100 mét trở lên là bao nhiêu?",True,True,23
hit_both,220,paraphrase,Vận chuyển hàng hóa nguy hiểm mà không có giấy phép bị phạt ở mức nào?,True,True,23
hit_both,221,yes-no,Người điều khiển xe vận chuyển hàng hóa nguy hiểm không có giấy phép có bị trừ 04 điểm giấy phép lái xe không?,True,True,23
hit_both,222,definition,"Vận chuyển động vật sống, thực phẩm tươi sống không mang đủ giấy tờ theo quy định bị phạt bao nhiêu tiền?",True,True,24
hit_both,223,paraphrase,"Hành vi vận chuyển thực phẩm tươi sống không đảm bảo an toàn thực phẩm, vệ sinh môi trường bị xử phạt như thế nào?",True,True,24
hit_both,224,yes-no,"Lái xe vệ sinh môi trường chở phế thải không chạy đúng tuyến, phạm vi quy định có bị phạt từ 2.000.000 đến 3.000.000 đồng không?",True,True,25
hit_both,225,definition,Xếp hàng hóa lên xe ô tô vượt quá trọng tải cho phép từ trên 10% đến 50% bị phạt đối với cá nhân là bao nhiêu?,True,True,26
hit_both,226,paraphrase,"Doanh nghiệp không đánh số thứ tự ghế ngồi, giường nằm trên xe ô tô chở khách sẽ bị phạt ra sao?",True,True,26
hit_both,227,yes-no,Kinh doanh vận tải không cấp thẻ nhận dạng lái xe cho lái xe có bị phạt tiền từ 3.000.000 đến 4.000.000 đồng đối với cá nhân không?,True,True,26
hit_both,228,definition,Sử dụng xe kinh doanh chở trẻ em mầm non không có ghế ngồi phù hợp lứa tuổi bị phạt mức nào đối với tổ chức?,True,True,26
hit_both,229,paraphrase,"Tổ chức sử dụng xe kinh doanh chở học sinh không có thiết bị có chức năng cảnh báo, chống bỏ quên trẻ em bị phạt bao nhiêu?",True,True,26
hit_both,230,yes-no,Tổ chức kinh doanh vận tải sử dụng xe không lắp thiết bị giám sát hành trình có bị phạt từ 10.000.000 đến 12.000.000 đồng không?,True,True,26
hit_both,231,definition,Không tổ chức khám sức khỏe định kỳ cho lái xe bị phạt bao nhiêu đối với cá nhân kinh doanh vận tải?,True,True,26
hit_both,232,paraphrase,Đơn vị sản xuất thiết bị giám sát hành trình làm sai lệch dữ liệu của thiết bị giám sát sẽ bị phạt bao nhiêu?,True,True,26
hit_both,233,yes-no,Lái xe ô tô chở học sinh không hướng dẫn học sinh ngồi đúng vị trí có bị phạt từ 1.000.000 đến 2.000.000 đồng không?,True,True,27
hit_both,234,definition,Lái xe chở học sinh tiểu học mà trên xe không có đủ người quản lý theo quy định bị phạt bao nhiêu?,True,True,27
hit_both,235,paraphrase,Lái xe ô tô đưa đón trẻ em mầm non không có thiết bị chống bỏ quên trẻ em bị phạt như thế nào?,True,True,27
hit_both,236,yes-no,Điều khiển xe chở người bốn bánh có gắn động cơ chở quá số người quy định có bị phạt 1-2 triệu đồng không?,True,True,28
hit_both,237,definition,"Lái xe chở người bốn bánh có gắn động cơ hoạt động không đúng tuyến đường, thời gian quy định bị phạt bao nhiêu?",True,True,28
hit_both,238,paraphrase,Người điều khiển xe cứu hộ giao thông không lắp thiết bị ghi nhận hình ảnh người lái xe sẽ bị phạt bao nhiêu?,True,True,29
hit_both,239,yes-no,Điều khiển xe ô tô cứu hộ không có dụng cụ chuyên dùng để cứu hộ có bị phạt tiền từ 2.000.000 đến 3.000.000 đồng không?,True,True,29
hit_both,240,definition,Lái xe ô tô cứu thương không lắp thiết bị giám sát hành trình bị phạt mức nào?,True,True,30
hit_both,241,paraphrase,Hành vi cá nhân mua bán biển số xe không do cơ quan nhà nước có thẩm quyền sản xuất bị xử lý phạt bao nhiêu?,True,True,31
hit_both,242,yes-no,"Tổ chức sản xuất, lắp ráp trái phép phương tiện giao thông cơ giới đường bộ có bị phạt tiền đến 100 triệu đồng không?",True,True,31
hit_both,243,definition,Chủ xe mô tô tự ý thay đổi màu sơn của xe không đúng với chứng nhận đăng ký xe bị phạt bao nhiêu?,True,True,32
hit_both,244,paraphrase,Chủ xe ô tô lắp kính chắn gió không phải là loại kính an toàn bị xử phạt như thế nào?,True,True,32
hit_both,245,yes-no,Chủ xe mô tô không làm thủ tục đổi chứng nhận đăng ký xe theo quy định có bị phạt từ 800.000 đến 1.000.000 đồng (với cá nhân) không?,True,True,32
hit_both,246,definition,"Chủ xe ô tô cá nhân không làm thủ tục thu hồi chứng nhận đăng ký xe, biển số xe theo quy định bị phạt bao nhiêu?",True,True,32
hit_both,247,paraphrase,Hành vi chủ xe ô tô tự ý thay đổi màu sơn không đúng với màu sơn trong chứng nhận đăng ký xe bị phạt ra sao?,True,True,32
hit_both,248,yes-no,"Chủ xe mô tô tự ý thay đổi khung, máy, hình dáng của xe có bị phạt từ 4.000.000 đến 6.000.000 đồng (cá nhân) không?",True,True,32
hit_both,249,definition,Tổ chức là chủ xe ô tô đưa xe không có giấy chứng nhận kiểm định an toàn tham gia giao thông bị phạt bao nhiêu?,True,True,32
hit_both,250,paraphrase,"Hành vi chủ xe tự ý cắt, cải tạo kết cấu, kích thước xe ô tô không đúng thiết kế sẽ bị xử phạt như thế nào?",True,True,32
hit_both,251,yes-no,"Đưa phương tiện đã bị cắt, hàn, đục sửa số khung tham gia giao thông có bị tịch thu phương tiện không?",True,True,32
hit_both,252,definition,Hành khách đi xe gây mất trật tự trên xe bị phạt bao nhiêu?,True,True,33
hit_both,253,paraphrase,Hành khách tự ý mở cửa xe khi xe đang chạy bị xử lý mức phạt nào?,True,True,33
hit_both,254,yes-no,"Hành khách có hành vi đe dọa, xâm phạm sức khỏe lái xe có bị phạt từ 2-3 triệu đồng không?",True,True,33
hit_both,255,definition,Điều khiển xe vượt quá tải trọng cho phép của đường bộ trên 10% đến 20% bị phạt mức tiền bao nhiêu?,True,True,34
hit_both,256,paraphrase,Hành vi chở hàng vượt khổ giới hạn của xe ghi trong giấy phép lưu hành bị phạt ra sao?,True,True,34
hit_both,257,yes-no,Điều khiển xe vượt quá tải trọng đường bộ trên 50% có bị phạt từ 40.000.000 đến 50.000.000 đồng không?,True,True,34
hit_both,258,definition,"Tụ tập để cổ vũ, giúp sức hành vi đua xe trái phép bị phạt bao nhiêu?",True,True,35
hit_both,259,paraphrase,Tổ chức đua xe trái phép thì cá nhân vi phạm sẽ phải chịu mức phạt tiền bao nhiêu?,True,True,35
hit_both,260,yes-no,Người đua xe mô tô trái phép trên đường giao thông có bị tịch thu phương tiện không?,True,True,35
hit_both,261,definition,Người đi xe máy chở hàng để rơi vãi hàng hóa xuống đường bị phạt bao nhiêu?,True,True,36
hit_both,262,paraphrase,Đi xe gắn máy chở hàng vượt quá khổ giới hạn cho phép bị phạt ra sao?,True,True,36
hit_both,263,yes-no,Xe gắn biển số nước ngoài chở hành khách không có danh sách hành khách theo quy định có bị phạt 1-2 triệu đồng không?,True,True,37
hit_both,264,definition,Lưu hành phương tiện gắn biển số nước ngoài trên lãnh thổ Việt Nam quá thời hạn quy định bị phạt thế nào?,True,True,37
hit_both,265,paraphrase,"Lái xe mô tô trong Khu kinh tế cửa khẩu quốc tế không có tờ khai tạm nhập, tái xuất theo quy định bị phạt bao nhiêu?",True,True,38
hit_both,266,yes-no,Giáo viên dạy lái xe thực hành không mang theo giấy phép xe tập lái có bị phạt từ 2-3 triệu đồng không?,True,True,39
hit_both,267,definition,"Cơ sở đào tạo lái xe sử dụng xe tập lái không có mui che mưa, nắng bị phạt bao nhiêu?",True,True,39
hit_both,268,paraphrase,"Đăng kiểm viên đưa ra yêu cầu trái quy định về trình tự, thủ tục đăng kiểm đối với cá nhân, tổ chức sẽ bị phạt như thế nào?",True,True,40
hit_both,269,yes-no,Cơ sở đăng kiểm từ chối cung cấp dịch vụ kiểm định không đúng quy định có bị phạt từ 16.000.000 đến 20.000.000 đồng không?,True,True,40
